id,name,rate,term_months,can_replenish,min_amount,risk_level,goal_accumulation
5463,Лучший %,18.0,4,0,2,3,0
5464,Лучший %,14.5,6,0,0,3,0
5465,Лучший %,15.75,6,0,1,3,0
5466,Лучший %,17.0,6,0,2,3,0
5467,Лучший %,13.5,12,0,0,2,1
5468,Лучший %,14.75,12,0,1,2,1
5469,Лучший %,16.0,12,0,2,2,1
5470,Лучший %,10.4,18,0,0,1,1
5471,Лучший %,10.95,18,0,1,1,1
5472,Лучший %,11.5,18,0,2,1,1
5473,Лучший %,10.4,24,0,0,1,1
5474,Лучший %,10.95,24,0,1,1,1
5475,Лучший %,11.5,24,0,2,1,1
5476,Лучший %,7.9,36,0,0,0,1
5477,Лучший %,8.45,36,0,1,0,1
5422,СберВклад,13.5,1,1,100000,3,0
5423,СберВклад,13.7,1,1,500000,3,0
5424,СберВклад,13.9,1,1,1000000,3,0
5425,СберВклад,13.5,2,1,100000,3,0
5426,СберВклад,13.7,2,1,500000,3,0
5427,СберВклад,13.9,2,1,1000000,3,0
5428,СберВклад,14.5,3,1,100000,3,0
5429,СберВклад,14.7,3,1,500000,3,0
5430,СберВклад,14.9,3,1,1000000,3,0
5431,СберВклад,14.5,6,1,100000,3,0
5432,СберВклад,14.7,6,1,500000,3,0
5433,СберВклад,14.9,6,1,1000000,3,0
5434,СберВклад,13.5,12,1,100000,2,1
5435,СберВклад,13.7,12,1,500000,2,1
5436,СберВклад,13.9,12,1,1000000,2,1
5437,СберВклад,15.5,4,1,100000,3,0
5438,СберВклад,15.7,4,1,500000,3,0
5439,СберВклад,15.9,4,1,1000000,3,0
5440,СберВклад,14.5,7,1,100000,2,0
5441,СберВклад,14.7,7,1,500000,2,0
5442,СберВклад,14.9,7,1,1000000,2,0
5443,СберВклад,10.4,18,1,100000,1,1
5444,СберВклад,10.6,18,1,500000,1,1
5445,СберВклад,10.8,18,1,1000000,1,1
5446,СберВклад,10.4,24,1,100000,1,1
5447,СберВклад,10.6,24,1,500000,1,1
5448,СберВклад,10.8,24,1,1000000,1,1
5449,СберВклад,7.9,36,1,100000,0,1
5450,СберВклад,8.1,36,1,500000,0,1
5451,СберВклад,8.3,36,1,1000000,0,1
5452,Лучший %,13.5,1,0,0,3,0
5453,Лучший %,14.75,1,0,1,3,0
5454,Лучший %,16.0,1,0,2,3,0
5455,Лучший %,13.5,2,0,0,3,0
5456,Лучший %,14.75,2,0,1,3,0
5457,Лучший %,16.0,2,0,2,3,0
5458,Лучший %,14.5,3,0,0,3,0
5459,Лучший %,15.75,3,0,1,3,0
5460,Лучший %,17.0,3,0,2,3,0
5461,Лучший %,15.5,4,0,0,3,0
5462,Лучший %,16.75,4,0,1,3,0
5478,Лучший %,9.0,36,0,2,0,1
5479,СберВклад,15.5,5,1,100000,3,0
5480,СберВклад,15.7,5,1,500000,3,0
5481,СберВклад,15.9,5,1,1000000,3,0
5482,Лучший %,15.5,5,0,0,3,0
5483,Лучший %,16.75,5,0,1,3,0
5484,Лучший %,18.0,5,0,2,3,0
5485,СберВклад,13.5,9,1,100000,2,0
5486,СберВклад,13.7,9,1,500000,2,0
5487,СберВклад,13.9,9,1,1000000,2,0
5488,Лучший %,13.5,9,0,0,2,0
5489,Лучший %,14.75,9,0,1,2,0
5490,Лучший %,16.0,9,0,2,2,0
5491,СберВклад,14.5,8,1,100000,2,0
5492,СберВклад,14.7,8,1,500000,2,0
5493,СберВклад,14.9,8,1,1000000,2,0
5494,СберВклад,13.5,10,1,100000,2,0
5495,СберВклад,13.7,10,1,500000,2,0
5496,СберВклад,13.9,10,1,1000000,2,0
5497,СберВклад,13.5,11,1,100000,2,0
5498,СберВклад,13.7,11,1,500000,2,0
5499,СберВклад,13.9,11,1,1000000,2,0
5500,Лучший %,14.5,7,0,0,2,0
5501,Лучший %,15.75,7,0,1,2,0
5502,Лучший %,17.0,7,0,2,2,0
5503,Лучший %,14.5,8,0,0,2,0
5504,Лучший %,15.75,8,0,1,2,0
5505,Лучший %,17.0,8,0,2,2,0
5506,Лучший %,13.5,10,0,0,2,0
5507,Лучший %,14.75,10,0,1,2,0
5508,Лучший %,16.0,10,0,2,2,0
5509,Лучший %,13.5,11,0,0,2,0
5510,Лучший %,14.75,11,0,1,2,0
5511,Лучший %,16.0,11,0,2,2,0
