name,rate,term_months,min_amount,can_replenish,currency,payout_mode
Желание,20.47,12,10000,False,RUB,monthly
Коробка,17.77,12,50000,True,EUR,monthly
Уронить,13.43,12,100000,False,RUB,monthly
Грустный,10.95,60,500000,False,RUB,monthly
Что,6.38,36,500000,False,EUR,end
Необычный,22.97,12,50000,False,EUR,monthly
Зачем,23.84,12,500000,True,RUB,end
Второй,5.97,6,500000,False,EUR,monthly
Металл,18.72,12,50000,True,RUB,monthly
Костер,14.97,60,50000,True,RUB,monthly
Снимать,23.42,24,10000,False,RUB,monthly
Господь,10.66,24,10000,True,USD,end
Армейский,11.7,60,100000,False,USD,end
Наслаждение,22.6,6,50000,True,RUB,monthly
Непривычный,11.62,60,500000,True,EUR,monthly
Тусклый,18.7,6,50000,False,RUB,end
Решение,17.37,60,100000,True,EUR,end
Армейский,20.32,24,100000,False,EUR,end
А,13.99,60,50000,True,RUB,monthly
Устройство,7.37,60,500000,True,USD,monthly
Тревога,18.83,60,100000,True,RUB,end
Слишком,18.12,12,100000,True,USD,monthly
Выбирать,15.7,12,500000,True,EUR,end
Неправда,11.63,60,500000,False,RUB,monthly
Угроза,21.37,60,500000,True,USD,monthly
Зачем,5.76,12,50000,True,EUR,monthly
Зарплата,17.19,36,500000,True,EUR,end
Очко,15.61,60,500000,True,EUR,end
Освободить,8.61,6,50000,False,USD,monthly
Подробность,15.4,60,500000,True,EUR,end
Дорогой,18.16,12,50000,True,USD,monthly
Июнь,24.69,60,50000,False,EUR,monthly
Командир,19.62,24,10000,False,USD,monthly
Оборот,20.2,36,50000,False,RUB,monthly
Тусклый,8.5,6,10000,True,USD,end
Промолчать,17.71,60,10000,False,USD,monthly
Тюрьма,8.57,24,100000,True,RUB,end
Научить,7.32,60,100000,False,RUB,monthly
Редактор,5.55,60,10000,True,EUR,monthly
Жестокий,8.21,12,500000,False,EUR,monthly
Хотеть,6.54,36,10000,False,USD,end
Провинция,14.63,12,500000,False,USD,end
Лапа,18.71,36,500000,False,EUR,monthly
Прощение,16.16,24,50000,False,EUR,end
Потянуться,7.3,6,100000,True,EUR,monthly
Парень,23.09,24,500000,False,RUB,monthly
Зима,7.5,12,500000,True,RUB,end
Доставать,8.05,24,500000,True,EUR,monthly
Мера,24.01,24,10000,True,USD,end
Спорт,14.46,36,100000,False,EUR,monthly
Сверкать,20.75,60,50000,True,USD,end
Потянуться,7.1,24,50000,True,RUB,end
Поговорить,13.86,6,50000,False,RUB,monthly
Новый,7.26,60,100000,True,EUR,end
Печатать,12.81,36,50000,False,RUB,end
Аллея,12.55,60,500000,False,RUB,monthly
Выраженный,6.97,12,10000,False,EUR,end
Тесно,17.89,60,500000,False,USD,end
Рота,10.8,24,100000,False,USD,end
Один,19.08,36,100000,True,EUR,monthly
Потом,15.01,24,10000,False,EUR,end
Командир,16.25,12,10000,False,RUB,end
Неудобно,19.77,60,10000,True,RUB,end
Дальний,10.77,60,10000,True,EUR,monthly
Интеллектуальный,9.3,12,50000,False,USD,monthly
Оставить,5.08,12,100000,False,USD,monthly
Поздравлять,7.71,24,500000,False,EUR,monthly
Пропаганда,16.44,36,50000,True,RUB,end
Серьезный,17.43,24,100000,True,USD,end
Хлеб,23.92,60,10000,False,USD,monthly
Дьявол,7.3,60,50000,False,RUB,end
Висеть,6.88,24,10000,False,RUB,end
Мера,14.95,6,500000,True,USD,end
Кузнец,8.09,24,50000,False,USD,end
Отъезд,8.69,24,100000,False,RUB,monthly
Степь,11.31,6,500000,False,EUR,end
Анализ,14.91,24,100000,True,RUB,monthly
Бетонный,8.98,60,100000,True,EUR,monthly
Отметить,15.7,24,500000,True,USD,monthly
Покидать,8.03,24,10000,False,EUR,monthly
Аж,14.88,36,100000,True,EUR,monthly
Поставить,7.9,6,10000,False,EUR,monthly
Выкинуть,20.33,6,500000,True,EUR,end
Отдел,10.92,12,500000,False,RUB,end
Экзамен,9.57,60,10000,True,EUR,monthly
Пропасть,14.05,36,50000,False,USD,end
Крутой,14.36,6,500000,True,EUR,monthly
Пропасть,10.57,6,100000,True,USD,end
Очередной,6.05,36,10000,False,USD,end
Термин,22.36,36,500000,True,RUB,end
Выдержать,9.99,24,10000,True,EUR,end
Идея,18.68,6,100000,True,RUB,monthly
Художественный,24.28,60,100000,True,RUB,end
Механический,22.1,24,10000,True,RUB,end
Грустный,9.5,36,10000,True,RUB,end
Степь,19.59,36,50000,True,USD,monthly
Эффект,19.22,12,500000,True,EUR,end
Ученый,14.76,12,50000,False,RUB,monthly
Военный,19.5,60,10000,False,RUB,end
Социалистический,22.14,24,10000,True,RUB,end
Монета,20.93,60,100000,True,EUR,end
Армейский,22.07,36,10000,True,RUB,monthly
Носок,8.68,36,100000,True,USD,monthly
